"a1","a2","a3","a4","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","category","clock_backend","color_backend","compensation","coordinates","correct","correct_audio_stim","correct_keyboard_response","correct_response","correct_video","count_ContentQ1","count_ContentQ2","count_ContentQ3","count_ContentQ4","count_End_message","count_Q1","count_Q2","count_Q3","count_Start_connection_message","count_Start_video_message","count_a1_correct","count_a1_incorrect","count_a2_correct","count_a2_incorrect","count_a3_correct","count_a3_incorrect","count_a4_correct","count_a4_incorrect","count_about_this_example","count_audio_stim_message","count_block_loop","count_block_sequence","count_counterbalance","count_end_of_practice","count_experiment","count_experimental_loop","count_fixation","count_goodbye","count_green_fix","count_instructions_content","count_instructions_q_1","count_instructions_video","count_keyboard_response","count_logger","count_new_sequence","count_practice_loop","count_practice_sequence","count_practice_stim_loop","count_red_fix","count_reset_feedback","count_responded_message","count_trial_sequence","count_video","count_wait","count_word","datetime","description","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","foreground","form_response","form_var","height","keyboard_backend","logfile","mouse_backend","no_response","nonword_response","opensesame_codename","opensesame_version","practice","q1","q1_ans","response","response_a1_correct","response_a1_incorrect","response_a2_correct","response_a2_incorrect","response_a3_correct","response_a3_incorrect","response_a4_correct","response_a4_incorrect","response_audio_stim","response_end_of_practice","response_goodbye","response_instructions_content","response_instructions_q_1","response_instructions_video","response_keyboard_response","response_time","response_time_a1_correct","response_time_a1_incorrect","response_time_a2_correct","response_time_a2_incorrect","response_time_a3_correct","response_time_a3_incorrect","response_time_a4_correct","response_time_a4_incorrect","response_time_audio_stim","response_time_end_of_practice","response_time_goodbye","response_time_instructions_content","response_time_instructions_q_1","response_time_instructions_video","response_time_keyboard_response","response_time_video","response_time_wait","response_video","response_wait","sampler_backend","start","subject_nr","subject_parity","synth_backend","target","time_ContentQ1","time_ContentQ2","time_ContentQ3","time_ContentQ4","time_End_message","time_Q1","time_Q2","time_Q3","time_Start_connection_message","time_Start_video_message","time_a1_correct","time_a1_incorrect","time_a2_correct","time_a2_incorrect","time_a3_correct","time_a3_incorrect","time_a4_correct","time_a4_incorrect","time_about_this_example","time_audio_stim_message","time_block_loop","time_block_sequence","time_counterbalance","time_end_of_practice","time_experiment","time_experimental_loop","time_fixation","time_goodbye","time_green_fix","time_instructions_content","time_instructions_q_1","time_instructions_video","time_keyboard_response","time_logger","time_new_sequence","time_practice_loop","time_practice_sequence","time_practice_stim_loop","time_red_fix","time_reset_feedback","time_responded_message","time_trial_sequence","time_video","time_wait","time_word","title","total_correct","total_response_time","total_responses","uniform_coordinates","width","word_response","yes_response"
"c. Wolverine","a. Dancing","d. To compete in the Daytona 200","c. Gorilla mask","0","0","0","0","gray","no","xpyriment","NA","legacy","legacy","0","relative","undefined","NA","NA","NA","undefined","0","0","0","0","NA","0","0","0","NA","NA","0","0","0","0","0","0","0","0","0","NA","NA","NA","0","0","0","0","NA","0","NA","0","0","0","NA","3","0","0","NA","NA","NA","NA","NA","NA","0","NA","NA","04/22/16 15:33:20","Automated, runs whole NEUR325 experiment","behavioral.osexp","C:\Users\Public\Documents\neur325_program","no","mono","no","32","white","c. Wolverine","NA","768","legacy","C:/Users/Public/Documents/neur325_program/subject-422.csv","xpyriment","left","NA","Interactive Ising","3.0.7","NA","NA","NA","space","space","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","k","NA","2503","2503","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1593908","NA","6368","NA","0","NA","None","NA","legacy","experiment","422","even","legacy","NA","NA","NA","NA","NA","NA","2067299","NA","NA","NA","NA","2072401","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","473372","NA","15460","NA","NA","NA","NA","473390","NA","15930","NA","2074905","NA","NA","NA","NA","NA","NA","NA","NA","22299","NA","NA","NEUR325-experiment","0","0","1","no","1024","NA","right"
"c. Wolverine","a. Dancing","d. To compete in the Daytona 200","c. Gorilla mask","0","0","0","0","gray","no","xpyriment","NA","legacy","legacy","0","relative","undefined","NA","NA","NA","undefined","0","0","0","0","NA","0","0","0","NA","NA","0","0","0","0","0","0","0","0","0","NA","NA","NA","0","0","0","0","NA","0","NA","0","0","0","NA","3","0","0","NA","NA","NA","NA","NA","NA","0","NA","NA","04/22/16 15:33:20","Automated, runs whole NEUR325 experiment","behavioral.osexp","C:\Users\Public\Documents\neur325_program","no","mono","no","32","white","a. Dancing","NA","768","legacy","C:/Users/Public/Documents/neur325_program/subject-422.csv","xpyriment","left","NA","Interactive Ising","3.0.7","NA","NA","NA","space","space","NA","space","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","k","NA","2980","2503","NA","2980","NA","NA","NA","NA","NA","NA","NA","NA","1593908","NA","6368","NA","0","NA","None","NA","legacy","experiment","422","even","legacy","NA","NA","NA","NA","NA","NA","2067299","2075025","NA","NA","NA","2072401","NA","2085804","NA","NA","NA","NA","NA","NA","NA","NA","NA","473372","NA","15460","NA","NA","NA","NA","473390","NA","15930","NA","2088785","NA","NA","NA","NA","NA","NA","NA","NA","22299","NA","NA","NEUR325-experiment","0","0","1","no","1024","NA","right"
"c. Wolverine","a. Dancing","d. To compete in the Daytona 200","c. Gorilla mask","0","0","0","0","gray","no","xpyriment","NA","legacy","legacy","0","relative","undefined","NA","NA","NA","undefined","0","0","0","0","NA","0","0","0","NA","NA","0","0","0","0","0","0","0","0","0","NA","NA","NA","0","0","0","0","NA","0","NA","0","0","0","NA","3","0","0","NA","NA","NA","NA","NA","NA","0","NA","NA","04/22/16 15:33:20","Automated, runs whole NEUR325 experiment","behavioral.osexp","C:\Users\Public\Documents\neur325_program","no","mono","no","32","white","d. To compete in the Daytona 200","NA","768","legacy","C:/Users/Public/Documents/neur325_program/subject-422.csv","xpyriment","left","NA","Interactive Ising","3.0.7","NA","NA","NA","space","space","NA","space","NA","space","NA","NA","NA","NA","NA","NA","space","NA","k","NA","3593","2503","NA","2980","NA","3593","NA","NA","NA","NA","NA","NA","1593908","NA","6368","NA","0","NA","None","NA","legacy","experiment","422","even","legacy","NA","NA","NA","NA","NA","NA","2067299","2075025","2088867","NA","NA","2072401","NA","2085804","NA","2094182","NA","NA","NA","NA","NA","NA","NA","473372","NA","15460","NA","NA","NA","NA","473390","NA","15930","NA","2097775","NA","NA","NA","NA","NA","NA","NA","NA","22299","NA","NA","NEUR325-experiment","0","0","1","no","1024","NA","right"
"c. Wolverine","a. Dancing","d. To compete in the Daytona 200","c. Gorilla mask","0","0","0","0","gray","no","xpyriment","NA","legacy","legacy","0","relative","undefined","NA","NA","NA","undefined","0","0","0","0","NA","0","0","0","NA","NA","0","0","0","0","0","0","0","0","0","NA","NA","NA","0","0","0","0","NA","0","NA","0","0","0","NA","3","0","0","NA","NA","NA","NA","NA","NA","0","NA","NA","04/22/16 15:33:20","Automated, runs whole NEUR325 experiment","behavioral.osexp","C:\Users\Public\Documents\neur325_program","no","mono","no","32","white","c. Gorilla mask","NA","768","legacy","C:/Users/Public/Documents/neur325_program/subject-422.csv","xpyriment","left","NA","Interactive Ising","3.0.7","NA","NA","NA","space","space","NA","space","NA","space","NA","space","NA","NA","NA","NA","space","NA","k","NA","1368","2503","NA","2980","NA","3593","NA","1368","NA","NA","NA","NA","1593908","NA","6368","NA","0","NA","None","NA","legacy","experiment","422","even","legacy","NA","NA","NA","NA","NA","NA","2067299","2075025","2088867","NA","NA","2072401","NA","2085804","NA","2094182","NA","2105124","NA","NA","NA","NA","NA","473372","NA","15460","NA","NA","NA","NA","473390","NA","15930","NA","2106493","2097856","NA","NA","NA","NA","NA","NA","NA","22299","NA","NA","NEUR325-experiment","0","0","1","no","1024","NA","right"
"c. Wolverine","a. Dancing","d. To compete in the Daytona 200","c. Gorilla mask","50","50","315","315","gray","no","xpyriment","present","legacy","legacy","0","relative","1","0","1","[yes_response]","undefined","0","0","0","0","NA","0","0","0","NA","NA","0","0","0","0","0","0","0","0","0","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","NA","0","0","NA","0","04/22/16 15:33:20","Automated, runs whole NEUR325 experiment","behavioral.osexp","C:\Users\Public\Documents\neur325_program","no","mono","no","32","white","c. Gorilla mask","NA","768","legacy","C:/Users/Public/Documents/neur325_program/subject-422.csv","xpyriment","left","NA","Interactive Ising","3.0.7","yes","NA","NA","right","space","NA","space","NA","space","NA","space","NA","None","NA","NA","space","space","k","right","631","2503","NA","2980","NA","3593","NA","1368","NA","0","NA","NA","1593908","11463","6368","631","0","NA","None","NA","legacy","experiment","422","even","legacy","Wolverine","NA","NA","NA","NA","NA","2067299","2075025","2088867","NA","NA","2072401","NA","2085804","NA","2094182","NA","2105124","NA","NA","NA","NA","NA","473372","NA","15460","NA","2119604","NA","2121860","473390","2106527","15930","2121217","2122360","2097856","2117991","2117999","2117999","NA","NA","NA","2119467","22299","NA","2121216","NEUR325-experiment","1","631","2","no","1024","NA","right"
"c. Wolverine","a. Dancing","d. To compete in the Daytona 200","c. Gorilla mask","50","50","776","776","gray","no","xpyriment","not","legacy","legacy","0","relative","1","0","1","[no_response]","undefined","0","0","0","0","NA","0","0","0","NA","NA","0","0","0","0","0","0","0","0","0","NA","NA","NA","0","0","0","0","1","0","1","0","0","0","1","5","0","0","0","0","1","0","NA","1","0","NA","1","04/22/16 15:33:20","Automated, runs whole NEUR325 experiment","behavioral.osexp","C:\Users\Public\Documents\neur325_program","no","mono","no","32","white","c. Gorilla mask","NA","768","legacy","C:/Users/Public/Documents/neur325_program/subject-422.csv","xpyriment","left","NA","Interactive Ising","3.0.7","yes","NA","NA","left","space","NA","space","NA","space","NA","space","NA","None","NA","NA","space","space","k","left","2475","2503","NA","2980","NA","3593","NA","1368","NA","0","NA","NA","1593908","11463","6368","2475","0","NA","None","NA","legacy","experiment","422","even","legacy","Bagel","NA","NA","NA","NA","NA","2067299","2075025","2088867","NA","NA","2072401","NA","2085804","NA","2094182","NA","2105124","NA","NA","NA","NA","NA","473372","NA","15460","NA","2123598","NA","2127458","473390","2106527","15930","2124975","2127959","2097856","2117991","2117999","2117999","NA","NA","NA","2123430","22299","NA","2124975","NEUR325-experiment","2","3106","4","no","1024","NA","right"
"c. Wolverine","a. Dancing","d. To compete in the Daytona 200","c. Gorilla mask","50","50","879","879","gray","no","xpyriment","trick","legacy","legacy","0","relative","1","0","1","[no_response]","undefined","0","0","0","0","NA","0","0","0","NA","NA","0","0","0","0","0","0","0","0","0","NA","NA","NA","0","0","0","0","2","0","2","0","0","0","2","6","0","0","0","0","2","0","NA","2","0","NA","2","04/22/16 15:33:20","Automated, runs whole NEUR325 experiment","behavioral.osexp","C:\Users\Public\Documents\neur325_program","no","mono","no","32","white","c. Gorilla mask","NA","768","legacy","C:/Users/Public/Documents/neur325_program/subject-422.csv","xpyriment","left","NA","Interactive Ising","3.0.7","yes","NA","NA","left","space","NA","space","NA","space","NA","space","NA","None","NA","NA","space","space","k","left","2173","2503","NA","2980","NA","3593","NA","1368","NA","0","NA","NA","1593908","11463","6368","2173","0","NA","None","NA","legacy","experiment","422","even","legacy","Painters","NA","NA","NA","NA","NA","2067299","2075025","2088867","NA","NA","2072401","NA","2085804","NA","2094182","NA","2105124","NA","NA","NA","NA","NA","473372","NA","15460","NA","2129141","NA","2132934","473390","2106527","15930","2130753","2133434","2097856","2117991","2117999","2117999","NA","NA","NA","2129031","22299","NA","2130753","NEUR325-experiment","3","5279","6","no","1024","NA","right"
"c. Wolverine","a. Dancing","d. To compete in the Daytona 200","c. Gorilla mask","50","50","722","722","gray","no","xpyriment","present","legacy","legacy","0","relative","1","0","1","[yes_response]","undefined","0","0","0","0","NA","0","0","0","NA","NA","0","0","0","0","0","0","0","0","0","NA","NA","NA","0","0","0","0","3","0","3","0","0","0","3","7","0","0","0","0","3","0","NA","3","0","NA","3","04/22/16 15:33:20","Automated, runs whole NEUR325 experiment","behavioral.osexp","C:\Users\Public\Documents\neur325_program","no","mono","no","32","white","c. Gorilla mask","NA","768","legacy","C:/Users/Public/Documents/neur325_program/subject-422.csv","xpyriment","left","NA","Interactive Ising","3.0.7","yes","NA","NA","right","space","NA","space","NA","space","NA","space","NA","None","NA","NA","space","space","k","right","497","2503","NA","2980","NA","3593","NA","1368","NA","0","NA","NA","1593908","11463","6368","497","0","NA","None","NA","legacy","experiment","422","even","legacy","Car","NA","NA","NA","NA","NA","2067299","2075025","2088867","NA","NA","2072401","NA","2085804","NA","2094182","NA","2105124","NA","NA","NA","NA","NA","473372","NA","15460","NA","2134669","NA","2136383","473390","2106527","15930","2135881","2136883","2097856","2117991","2117999","2117999","NA","NA","NA","2134523","22299","NA","2135881","NEUR325-experiment","4","5776","8","no","1024","NA","right"
"c. Wolverine","a. Dancing","d. To compete in the Daytona 200","c. Gorilla mask","40","40","626","626","gray","no","xpyriment","trick","legacy","legacy","0","relative","0","0","0","[no_response]","undefined","0","0","0","0","NA","0","0","0","NA","NA","0","0","0","0","0","0","0","0","0","NA","NA","NA","0","0","0","0","4","0","4","0","0","0","4","8","0","0","0","0","4","0","NA","4","0","NA","4","04/22/16 15:33:20","Automated, runs whole NEUR325 experiment","behavioral.osexp","C:\Users\Public\Documents\neur325_program","no","mono","no","32","white","c. Gorilla mask","NA","768","legacy","C:/Users/Public/Documents/neur325_program/subject-422.csv","xpyriment","left","NA","Interactive Ising","3.0.7","yes","NA","NA","right","space","NA","space","NA","space","NA","space","NA","None","NA","NA","space","space","k","right","486","2503","NA","2980","NA","3593","NA","1368","NA","0","NA","NA","1593908","11463","6368","486","0","NA","None","NA","legacy","experiment","422","even","legacy","Costume","NA","NA","NA","NA","NA","2067299","2075025","2088867","NA","NA","2072401","NA","2085804","NA","2094182","NA","2105124","NA","NA","NA","NA","NA","473372","NA","15460","NA","2138053","NA","2136383","473390","2106527","15930","2139630","2140620","2097856","2117991","2117999","2117999","2140119","NA","NA","2137923","22299","NA","2139630","NEUR325-experiment","4","6262","10","no","1024","NA","right"
"c. Wolverine","a. Dancing","d. To compete in the Daytona 200","c. Gorilla mask","33.3333333333","33.3333333333","673","673","gray","no","xpyriment","note","legacy","legacy","0","relative","0","0","0","[no_response]","undefined","0","0","0","0","NA","0","0","0","NA","NA","0","0","0","0","0","0","0","0","0","NA","NA","NA","0","0","0","0","5","0","5","0","0","0","5","9","0","0","0","0","5","0","NA","5","0","NA","5","04/22/16 15:33:20","Automated, runs whole NEUR325 experiment","behavioral.osexp","C:\Users\Public\Documents\neur325_program","no","mono","no","32","white","c. Gorilla mask","NA","768","legacy","C:/Users/Public/Documents/neur325_program/subject-422.csv","xpyriment","left","NA","Interactive Ising","3.0.7","yes","NA","NA","right","space","NA","space","NA","space","NA","space","NA","None","NA","NA","space","space","k","right","1814","2503","NA","2980","NA","3593","NA","1368","NA","0","NA","NA","1593908","11463","6368","1814","0","NA","None","NA","legacy","experiment","422","even","legacy","Delicious","NA","NA","NA","NA","NA","2067299","2075025","2088867","NA","NA","2072401","NA","2085804","NA","2094182","NA","2105124","NA","NA","NA","NA","NA","473372","NA","15460","NA","2141782","NA","2136383","473390","2106527","15930","2143393","2145711","2097856","2117991","2117999","2117999","2145211","NA","NA","2141657","22299","NA","2143392","NEUR325-experiment","4","8076","12","no","1024","NA","right"
