[no_response],Embarrassing,trick
[yes_response],Friend,present
[no_response],Light,not
[no_response],Phone,trick
[yes_response],Motorcycles,present
[no_response],Yellow,trick
[no_response],Shoes,not
[no_response],Gorilla,trick
[no_response],Small,not
[yes_response],Parts,present
[no_response],Attractive,trick
[yes_response],Destroyed,present
[no_response],Celebrate,not
[yes_response],Kill,present
[no_response],Accident,trick
[no_response],Monster,not
[yes_response],Pillow,present
[no_response],sticky note,trick
[no_response],Calaiopee,not
[no_response],Macaroni,trick
[yes_response],Married,present
[no_response],Save,trick
[no_response],Sacred,not
[no_response],Challenge,not
[yes_response],Mateess,present
[no_response],Skull,trick
[yes_response],Tire,present
[no_response],Hate,not
[no_response],Jacket,not
[yes_response],Sorry,present
[no_response],Hair,not
[no_response],Rude,trick
[no_response],Snow,not
[no_response],Chicken,trick
[yes_response],Fold,present
[no_response],Divorce,not
[no_response],Pretending,trick
[no_response],Jealous,not
[yes_response],Impressionists,present
[yes_response],Variety,present
[no_response],eleventh,trick
[no_response],Janice,not
[yes_response],Tickle,present
[no_response],Frosting,trick
[yes_response],Deduction,present
[no_response],Blue,not
[yes_response],Act,present
[no_response],Mustache,not
[yes_response],Evil,present
[no_response],Bullied,trick
[yes_response],Dad,present
[no_response],Bed,trick
[yes_response],Refined,present
[no_response],Effort,not
[no_response],Chipmunks,trick
[no_response],Walnut,not
[no_response],Contestant,trick
[no_response],Autograph,trick
[yes_response],Bat,present
[no_response],Safety,not
